"Sample_ID","female.f2","male_pheromone_level","cross.time_.sec.","cross.direction","latency.time_.sec.","bout.time_.sec.","courtship.time_.sec.","copulation.success.10min","progress_in_courtship","n.totalcycle","n.headnods.c1","f3md.g","f3md.o"
1,"O",1.17,NA,NA,NA,NA,NA,0,0,0,NA,1,0
3,"O",6.62,23.33,"R",92.5,93.9,93.9,1,6,7,8,0.5,0
5,"O",3.3,5.73,"R",26.4,28.7,28.7,1,6,2,7,0,1
7,"O",2.01,12.93,"L",202.3,127.5,127.5,1,6,3,8,NA,NA
9,"O",14.17,4.45,"R",507.9,99.5,99.5,0,4,6,12,NA,NA
11,"O",32.74,24.93,"L",61.1,35.1,35.1,1,6,1,11,0.2,0.33
13,"O",1.81,83.05,"R",91.2,13.3,13.3,1,6,1,2,0.4,0
15,"O",13.08,6.94,"L",119.2,8.5,8.5,1,6,1,5,0.2,0
17,"O",3.36,2.18,"L",54.7,159.5,159.5,0,4,10,9,0.4,0
19,"O",6.44,39.72,"R",NA,NA,NA,0,1,0,NA,1,0
21,"O",51.1,17.11,"L",115.0799996685,23.1599999825,23.1599999825,1,6,1,11,1,0
22,"O",7.33,32.7,"L",56.6700004041,5.9399999678,5.9399999678,1,6,1,3,0.2,0
24,"O",5.13,6.55,"L",NA,NA,NA,0,1,0,NA,0.2,0.25
26,"O",53.78,18.14,"R",600.6,38.3,38.3,1,6,3,1,0,0
28,"O",5.53,20.97,"L",NA,NA,NA,0,1,0,NA,NA,NA
30,"O",1.62,320.81,"L",355.3,115.1,115.1,1,6,6,1,0.4,0
32,"O",1.58,59.64,"L",NA,NA,NA,0,1,0,NA,1,0.33
34,"O",13.58,61.3,"R",75.4,4.3,4.3,1,6,1,3,NA,NA
36,"O",20.64,25.41,"L",NA,NA,NA,0,1,0,NA,0,0
38,"O",0.84,2.71,"L",304.000000027,55.7700002566,55.7700002566,1,6,2,11,0,0
40,"O",12.97,17.77,"R",NA,NA,NA,0,1,0,NA,0,0
42,"O",40.27,28.82,"L",147.2,12.4,12.4,1,6,1,12,0.5,0
44,"O",5.66,9.47,"L",21.9,33,33,1,6,1,23,0.33,0
47,"O",2.3,2.03,"L",60.2,22.6,22.6,1,6,1,19,0,0.17
49,"O",2.64,19.03,"L",634.1,37.8,37.8,1,6,2,11,0,0.2
51,"O",15.95,4.75,"L",105.5,16.7,16.7,1,6,1,14,1,0
53,"O",6.9,149.59,"L",NA,NA,NA,0,1,0,NA,0.2,0
55,"O",1.23,4.62,"L",NA,NA,NA,0,1,0,NA,0.6,0
57,"O",2.34,77.42,"L",188.9,10.2,10.2,1,6,1,2,0,0
59,"O",9.46,NA,NA,NA,NA,NA,0,0,0,NA,0.2,0
61,"O",1.62,28.02,"L",NA,NA,NA,0,1,0,NA,0.4,0
63,"O",0.85,248.93,"L",NA,NA,NA,0,1,0,NA,0.5,0
65,"O",2.56,2.53,"L",130.7,3.5,3.5,1,6,1,3,NA,NA
67,"O",4.71,4.65,"R",584,9.4,9.4,1,6,1,4,0,0
69,"O",3.38,26.48,"L",518.1,8.1,8.1,1,6,1,3,0.5,0
71,"O",6.06,4.5,"L",15.9,7,7,1,6,1,3,0,0
73,"O",8.6,8.48,"L",NA,NA,NA,0,1,0,NA,0.2,0
75,"O",1.24,17,"L",41.6,27.8,27.8,1,6,2,4,0.5,0
77,"O",0.81,20.22,"L",NA,NA,NA,0,1,0,NA,0.2,0.2
79,"O",1.52,15.03,"L",346.9,13.3,13.3,1,6,1,9,1,0
81,"O",1.71,86.56,"R",107.2,80.7,80.7,1,6,6,9,0,0
83,"O",14.09,65.89,"L",218.2,7.5,7.5,1,6,1,4,0.86,0.33
85,"O",7.32,3.03,"L",211.6,7.3,7.3,1,6,1,2,0,0
87,"O",18.65,21.25,"L",NA,NA,NA,0,1,0,NA,0.2,0
89,"O",5.29,4.05,"L",297.8,10.7,10.7,1,6,1,3,0,0
91,"O",2.82,22.51,"L",306.9,8.8,8.8,1,6,1,4,0.25,0
93,"O",0.9,55.96,"R",514,12.3,12.3,1,6,1,10,0.5,0
95,"O",2.11,2.66,"L",68.3,181.7,181.7,0,3,13,4,NA,NA
97,"O",2.95,11.15,"L",462.2,116.9,116.9,0,4,8,4,NA,NA
99,"O",1.26,381.06,"R",484.5,10.5,10.5,1,6,1,5,1,0
101,"O",2.52,1.68,"L",194.2,73.4,73.4,1,6,5,5,0.2,0
103,"O",24.96,36.75,"L",NA,NA,NA,0,1,0,NA,NA,NA
105,"O",1.65,13.32,"L",48.5,5.7,5.7,1,6,1,4,0.4,0
107,"O",1.42,65.52,"L",188.2,32.9,32.9,1,6,2,2,1,NA
109,"O",5.05,51.83,"R",253.4,8.8,8.8,1,6,1,3,0.5,1
111,"O",3.11,12.62,"L",297.2700004466,5.9299995191,5.9299995191,1,6,1,2,1,0
113,"O",6.51,17.61,"L",174.1699998965,7.6100000879,7.6100000879,1,6,1,4,0.4,0
115,"O",5.35,14,"L",116.0000000848,70.6199995475,70.6199995475,1,6,5,5,0.25,0
117,"O",7.81,33.81,"L",NA,NA,NA,0,1,0,NA,NA,NA
119,"O",0,2.29,"L",NA,NA,NA,0,1,0,NA,0.25,0
121,"O",0.77,22.01,"L",582.9,10.8,10.8,1,6,1,4,1,1
123,"O",4.92,12.62,"L",511.9,28.4,28.4,1,6,1,5,NA,NA
125,"O",15.69,4.78,"L",127.3,19.8,19.8,1,6,1,9,0.4,0
127,"O",1.5,5.5,"L",267,28,28,1,6,2,5,1,1
129,"O",1.51,1.72,"L",NA,NA,NA,0,1,0,NA,0.4,0
131,"O",6.88,175.89,"R",231.8,76.3,186.5,1,5,2,1,0,0
133,"O",0,31.32,"L",61.7,7.8,7.8,1,6,1,5,0,0
135,"O",1.8,8.04,"L",146.7,9.5,9.5,1,6,1,3,0.2,0
137,"O",63.97,10,"L",NA,NA,NA,0,1,0,NA,NA,NA
139,"O",3.54,2.15,"R",187.7,12.4,38,1,5,1,3,0.5,0
141,"O",3.25,3.39,"R",216.1,6.3,6.3,1,6,1,1,1,0
143,"O",33.46,18.21,"R",445.5,6.2,6.2,1,6,1,3,NA,NA
145,"O",8.53,6.9,"L",129.6,6.9,6.9,1,6,1,2,0.5,0
147,"O",1.27,85.32,"R",NA,NA,NA,0,1,0,NA,0.5,0.25
149,"O",2.87,28.11,"L",102,8,8,1,6,1,5,NA,NA
151,"O",3.01,2.3,"L",308.8,2,2,0,4,1,1,1,0
153,"O",0,38.43,"L",92.4,81.2,81.2,1,6,4,4,0.5,0
155,"O",0.87,45.69,"L",NA,NA,NA,0,1,0,NA,0.33,0
157,"O",4.4,23.91,"L",NA,NA,NA,0,1,0,NA,NA,NA
159,"O",2.56,51.34,"L",85,7,7,1,6,1,4,0.75,0
161,"O",10.1,3.37,"L",NA,NA,NA,0,1,0,NA,NA,NA
163,"O",2.79,1.6,"L",164.7,66.2,66.2,1,6,5,5,NA,NA
164,"O",1.25,3.97,"L",196.7,10.8,10.8,1,6,1,3,0.6,0
166,"O",0.32,1.91,"L",144.2,28.8,28.8,1,6,1,17,NA,NA
168,"O",25.22,3.67,"L",NA,NA,NA,0,1,0,NA,NA,NA
170,"O",1.77,75.13,"L",NA,NA,NA,0,1,0,NA,NA,NA
172,"O",3.46,310.68,"L",403.1,54.2,54.2,1,6,3,10,NA,NA
174,"O",46.25,1.9,"L",123.1,5.4,5.4,1,6,1,3,NA,NA
176,"O",15.6,2.16,"L",131.4,8.4,8.4,1,6,1,8,1,0
178,"O",8.6,4.55,"R",NA,NA,NA,0,1,0,NA,1,0.25
180,"O",0.75,2,"L",NA,NA,NA,0,1,0,NA,1,0
182,"O",4.84,10.64,"L",273.8,33,33,1,6,2,5,NA,NA
184,"O",2.27,2.09,"R",164.2,8.9,8.9,1,6,1,3,NA,NA
186,"O",0,2.88,"L",NA,NA,NA,0,1,0,NA,NA,NA
188,"O",13.97,10.47,"L",48,14,14,1,6,1,10,NA,NA
190,"O",0.17,245.36,"L",NA,NA,NA,0,1,0,NA,NA,NA
192,"O",0,24.79,"L",NA,NA,NA,0,1,0,NA,NA,NA
194,"O",0.03,2.62,"L",175.2,6.6,6.6,1,6,1,3,NA,NA
