"Sample_ID","female.f2","male_pheromone_level","cross.time_.sec.","cross.direction","latency.time_.sec.","bout.time_.sec.","courtship.time_.sec.","copulation.success.10min","progress_in_courtship","n.totalcycle","n.headnods.c1","f3md.g","f3md.o"
196,"O",0.16,22.74,"L",NA,NA,NA,0,1,0,NA,NA,NA
198,"O",19.84,36.11,"L",134,11,80.1,0,5,1,7,NA,NA
200,"O",20.02,1.99,"L",222.9,6.3,6.3,1,6,1,5,NA,NA
202,"O",0.25,10.08,"L",194.2,9,251.8,0,5,1,2,NA,NA
204,"O",0.05,30.2,"L",582.4,10.9,63.5,1,5,1,6,1,1
206,"O",4.06,7.47,"L",NA,NA,NA,0,1,0,NA,NA,NA
208,"O",3.15,5.34,"L",631,12,12,1,6,1,5,0.5,0
210,"O",1.26,3.89,"L",NA,NA,NA,0,1,0,NA,1,0
212,"O",7.16,7.22,"R",160.5,13,13,1,6,1,5,1,0
214,"O",1.22,23.62,"L",304.2,5.3,5.3,1,6,1,3,0,0
216,"O",2.32,4.73,"L",140,4,4,1,6,1,3,1,0.5
218,"O",5.05,7.64,"L",631,6,6,1,6,1,2,0.8,0.2
220,"O",0.29,5.07,"R",125,7,7,1,6,1,5,1,0
222,"O",0,2.89,"L",NA,NA,NA,0,1,0,NA,1,1
224,"O",18.57,3.84,"L",76.8,115.8,115.8,0,5,3,20,NA,NA
226,"O",1.03,10.58,"R",23.3,6.8,66.9,0,5,1,3,NA,NA
229,"O",24.45,4.03,"L",NA,NA,NA,0,1,0,NA,NA,NA
231,"O",0,10.91,"L",607.8,44.8,44.8,1,3,5,1,NA,NA
233,"O",0.89,2.73,"L",51.1,6.7,6.7,1,6,1,3,1,0
235,"O",12.11,15.45,"L",328.4,86.9,86.9,1,3,6,2,0.67,0.5
237,"O",15.18,199.39,"L",NA,NA,NA,0,1,0,NA,1,NA
238,"O",15.53,8.97,"R",223.9,12.8,95.5,1,5,1,7,1,1
239,"O",2.65,8.39,"L",403,11.9,98,0,5,1,3,NA,NA
243,"O",34,4.47,"L",834.7,10.1,10.1,1,6,1,5,0.75,0
247,"O",4.67,4.71,"L",NA,NA,NA,0,1,0,NA,NA,NA
249,"O",71.29,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
251,"O",28.33,1.12,"L",11.1,39.9,39.9,1,6,3,7,1,0
253,"O",3.38,7.62,"L",268.8,230.2,230.2,1,6,4,1,0.2,0
255,"O",0.49,19.5,"R",106,19.6,19.6,1,6,1,4,0.25,0.4
257,"O",79.94,8.72,"L",88.7,7.9,7.9,1,6,1,3,0.2,0
259,"O",3.23,2.33,"L",43,8,8,1,6,1,1,0,0
261,"O",0,16.15,"L",NA,NA,NA,0,1,0,NA,0,0
263,"O",15.56,21.39,"L",492.6,4.4,4.4,1,6,1,3,0,0
265,"O",2.1,15.16,"R",21.9,9.4,9.4,1,6,1,6,0.8,1
267,"O",2.22,10.81,"R",NA,NA,NA,0,1,0,NA,0,0
269,"O",2.22,53.85,"L",288.3,15,15,1,6,1,9,1,0
271,"O",10.83,22.88,"L",344,14,14,1,6,2,1,0,0
273,"O",0.67,3.16,"L",83.4,114.6,114.6,0,3,6,2,0,0
275,"O",7.16,25.89,"L",276.3,8.4,8.4,1,6,1,3,0,0
277,"O",0,35.37,"L",371.1,76.6,76.6,1,6,5,3,0,0
279,"O",4.2,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
281,"O",0,6.43,"L",74.2,8.1,8.1,1,6,1,3,0,0
283,"O",10.93,108.53,"L",242.9,5.9,5.9,1,6,1,4,0.17,0
285,"O",9.07,5.14,"L",98,6,6,1,6,1,6,NA,NA
287,"O",0,NA,NA,NA,NA,NA,0,0,0,NA,0.5,1
289,"O",0,1.07,"L",642,194,194,0,3,12,3,NA,NA
291,"O",0.96,54.06,"L",201,11,11,1,6,1,5,0.4,0
293,"O",0,3.19,"R",NA,NA,NA,0,1,0,NA,0.25,0
295,"O",1.35,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
297,"O",0,9.37,"L",190.7100002049,18.2399998885,18.2399998885,1,6,1,3,0.4,0
299,"O",5.05,24.57,"R",NA,NA,NA,0,1,0,NA,NA,NA
301,"O",1.11,1.47,"L",NA,NA,NA,0,1,0,NA,0.3333333333,0
303,"O",42.49,32.93,"L",143,29,29,1,6,3,3,NA,NA
305,"O",1.5,5.47,"L",432.6,26.9,26.9,0,3,0,0,0,0
307,"O",0,31.86,"L",459.8,59.7,59.7,0,2,0,NA,NA,NA
309,"O",0.79,1.98,"R",237,52.8,52.8,1,6,4,3,0,0
311,"O",1.45,20.39,"L",130,171.3,171.3,0,4,11,15,NA,NA
313,"O",0,27.18,"L",140.3,132.5,132.5,1,6,2,2,0.5,0
315,"O",1.3,6.29,"L",275.4,44.4,44.4,1,6,3,4,0.33,0
317,"O",1.23,2.95,"L",78,110.3,110.3,0,3,6,1,0.4,1
319,"O",9.88,198.89,NA,202.4,88.7,88.7,1,6,4,1,0,0
321,"O",5.33,13,"L",566.5,14.5,14.5,1,6,1,7,0.4,0.25
323,"O",4.4,8.68,"L",NA,NA,NA,0,1,0,NA,0.4,0
325,"O",1.43,7.39,"L",NA,NA,NA,0,1,0,NA,NA,NA
327,"O",1.02,28.99,"L",NA,NA,NA,0,1,0,NA,NA,NA
329,"O",15.08,10.26,"L",189.3,9,9,1,6,1,4,0,0
331,"O",47.78,4.28,"L",137,15,15,1,6,1,5,0.25,0
333,"O",6.17,13.69,"L",531,14,14,1,6,1,5,0.5,0
335,"O",10.45,18.54,"R",NA,NA,NA,0,1,0,NA,NA,NA
337,"O",55.11,4.56,"L",496.6,32.7,32.7,1,6,2,3,1,0
338,"O",2.49,1.84,"L",NA,NA,NA,0,1,0,NA,0.6,0
340,"O",5.6,7.09,"L",NA,NA,NA,0,1,0,NA,1,1
342,"O",0.83,11,"L",79.6,12.6,12.6,1,6,1,5,1,0
344,"O",1.65,9.72,"L",NA,NA,NA,0,1,0,NA,NA,NA
346,"O",35.48,10.8,"R",414.3,65.8,65.8,1,3,7,3,0.6,0
348,"O",4.63,16.65,"L",NA,NA,NA,0,1,0,NA,NA,NA
350,"O",28.51,7.36,"L",NA,NA,NA,0,1,0,NA,0.8,0
352,"O",1.72,2.18,"R",146.6,11.9,11.9,1,6,1,3,NA,NA
354,"O",141.41,12,"L",181.6,10.5,121.4,1,5,1,5,NA,NA
356,"O",54.63,4.41,"R",299.5,15.8,15.8,1,6,1,11,0.5,0
358,"O",99.92,43.81,"R",60.7,7.3,7.3,1,6,1,4,0.25,0
360,"O",4.34,208.93,"L",NA,NA,NA,0,1,0,NA,0,0
362,"O",15.1,22.7,"R",NA,NA,NA,0,1,0,NA,1,0
364,"O",0.95,2.84,"L",55.4,7.4,7.4,1,6,1,3,NA,NA
366,"O",3.77,NA,NA,NA,NA,NA,0,0,0,NA,0,0
367,"O",0.36,4.56,"L",416.5,108.6,108.6,0,3,7,3,NA,NA
369,"O",3.05,160.58,"R",NA,NA,NA,0,1,0,NA,NA,NA
371,"O",3.91,13.63,"L",61.1,9,9,1,6,1,3,0,0
373,"O",3.24,1.76,"R",440.2,7,7,1,6,1,2,0.5,0
375,"O",2.63,5.66,"L",NA,NA,NA,0,1,0,NA,1,1
376,"O",2.73,4.18,"L",48.1,31.8,31.8,1,6,2,8,NA,NA
379,"O",3.06,2.11,"R",47,27.6,27.6,1,6,1,3,0,0
381,"O",1.05,21.55,"L",486.4,56.3,56.3,1,6,1,3,0,0
383,"O",5.02,10.3,"L",393.9,81.6,81.6,1,5,3,11,NA,NA
385,"O",3.94,2.6,"L",271.9,62.8,62.8,0,4,4,2,NA,NA
386,"O",2.47,6.14,"R",146.3,19.2,19.2,1,6,1,3,NA,NA
388,"O",0,174,"L",299.5,9.5,9.5,1,6,1,4,NA,NA
390,"O",5.36,2.39,"L",103.7,6,6,1,6,1,1,NA,NA
392,"O",24.29,8.27,"R",44.5,11.4,11.4,1,6,1,6,1,0
394,"O",124.73,8.67,"L",124.2,48.6,48.6,0,5,3,5,NA,NA
395,"O",17.5,22.93,"L",NA,NA,NA,0,1,0,NA,1,0
397,"O",18.6,138.47,"L",336.7,8,8,1,6,1,5,1,0.33
399,"O",NA,5.19,"L",103.5,26.3,26.3,1,6,2,3,1,0
401,"O",3.31,11.53,"L",427.4,5.6,5.6,1,6,1,3,NA,NA
403,"O",7.53,2.3,"L",236.4,6.4,6.4,1,6,1,3,1,0
405,"O",6.87,1.31,"L",86.1,5.9,5.9,1,6,1,3,1,0
408,"O",9.99,35,"L",213.8,34.9,34.9,1,6,3,7,1,0
410,"O",0,1.44,"L",NA,NA,NA,0,1,0,NA,NA,NA
412,"O",2.85,4.6,"R",190.2,19.4,19.4,1,6,1,20,1,0
414,"O",1.72,309.91,"L",NA,NA,NA,0,1,0,NA,1,1
416,"O",1.35,17.84,"L",485.1,9.7,9.7,1,6,1,1,NA,NA
418,"O",16.66,20.57,"L",NA,NA,NA,0,1,0,NA,NA,NA
419,"O",20.54,3.38,"R",425,146,146,0,3,9,7,NA,NA
421,"O",2.32,1.39,"R",215,20,20,1,6,1,8,NA,0
424,"O",2.23,8.33,"L",NA,NA,NA,0,1,0,NA,NA,NA
425,"O",6.46,1.83,"R",47.2,9.5,9.5,1,6,1,5,NA,NA
427,"O",0.91,12.27,"L",NA,NA,NA,0,1,0,NA,NA,NA
429,"O",0,7.4,"R",NA,NA,NA,0,1,0,NA,1,0
430,"O",1.98,9.39,"L",NA,NA,NA,0,1,0,NA,1,1
432,"O",1.29,1.6,"R",NA,NA,NA,0,1,0,NA,1,NA
434,"O",2.99,2,"L",137.6,6.6,6.6,1,6,1,5,NA,NA
436,"O",0,266.15,NA,270.7,10.5,10.5,1,6,1,4,NA,NA
438,"O",1.62,20.39,"L",119.1,7.4,7.4,1,6,1,4,1,0
439,"O",0.86,1.5,"L",NA,NA,NA,0,1,0,NA,0.5,0
441,"O",25.75,7.48,"L",NA,NA,NA,0,1,0,NA,NA,NA
443,"O",6.67,2.24,"L",NA,NA,NA,0,1,0,NA,0.5,0
445,"O",21.83,33.13,"L",66.1,154.2,154.2,0,3,5,2,NA,NA
447,"O",12.22,81.75,"R",NA,NA,NA,0,1,0,NA,NA,NA
449,"O",2.61,17.67,"L",NA,NA,NA,0,1,0,NA,0.5,0
451,"O",4.45,3.98,"R",73.6,9.7,9.7,1,6,1,5,NA,NA
453,"O",77.06,14.28,"R",23.4,36.6,198,0,5,1,13,NA,NA
455,"O",0,143.59,"R",150.7,8.6,37.6,1,5,1,5,NA,NA
457,"O",1.62,2.59,"L",NA,NA,NA,0,1,0,NA,NA,NA
459,"O",10.55,5.07,"L",214.4,1.3,144.1,0,2,0,NA,NA,NA
461,"O",8.83,12.94,"L",605.1,5.8,114.9,1,5,1,3,NA,NA
463,"O",0,5.5,"L",148.2,9.4,112.7,0,2,0,NA,NA,NA
465,"O",0,6.03,"L",NA,NA,NA,0,1,0,NA,NA,NA
467,"O",0,8.42,"R",NA,NA,NA,0,1,0,NA,NA,NA
469,"O",74.6,14.16,"R",498.1,2.1,45.6,1,2,0,NA,0.33,0.2
471,"O",0,5,"L",345.9,53.8,53.8,0,3,1,2,0.6,0.25
473,"O",144.69,2.57,"R",NA,NA,NA,0,1,0,NA,NA,NA
474,"O",0.76,167.59,"L",354.9,11.5,11.5,0,3,0,NA,NA,NA
