"Sample_ID","female.f2","male_pheromone_level","cross.time_.sec.","cross.direction","latency.time_.sec.","bout.time_.sec.","courtship.time_.sec.","copulation.success.10min","progress_in_courtship","n.totalcycle","n.headnods.c1","f3md.g","f3md.o"
2,"G",1.76,22.69,"R",52.6,24.3,24.3,0,2,0,NA,0,0
4,"G",38.71,11.35,"L",100.9,33.1,33.1,1,6,3,4,0.17,0
6,"G",63.7,6.06,"R",139.3,33.3,33.3,1,6,3,10,0.2,0
8,"G",22.67,6.11,"L",NA,NA,NA,0,1,0,NA,0,0
10,"G",65.69,72.41,"L",168.5,51.2,51.2,1,6,5,1,0,0
12,"G",6.82,5.64,"R",177.8,68.3,68.3,1,6,5,4,NA,NA
14,"G",17.99,6.95,"R",100.4,51.4,51.4,1,6,4,1,0,0
16,"G",13.84,13.16,"L",59.8,141.7,141.7,0,4,10,4,NA,NA
18,"G",6.45,12.85,"L",NA,NA,NA,0,1,0,NA,NA,NA
20,"G",7.21,16.88,"L",NA,NA,NA,0,1,0,NA,0.2,0.25
23,"G",4.87,6.1,"R",NA,NA,NA,0,1,0,NA,0.25,0
25,"G",13.94,7.39,"L",58.5,87.8,87.8,1,6,7,1,0,0
27,"G",4.03,7.82,"L",181.5,22.6,22.6,1,6,2,6,NA,NA
29,"G",4.27,5.86,"R",344.2,34.3,34.3,1,6,3,2,NA,NA
31,"G",3.26,190.2,"L",NA,NA,NA,0,1,0,NA,0,0
33,"G",7.59,215.5,"L",226.2,22,22,1,6,2,4,0,0
35,"G",9.49,53.64,"L",400.8,32.2,32.2,1,6,2,6,NA,NA
37,"G",16.91,178.96,"L",NA,NA,NA,0,1,0,NA,NA,NA
39,"G",22.44,8.71,"L",68.520000251,19.2599997623,19.2599997623,1,6,2,2,0,0
41,"G",20.44,9.49,"L",297.9,31.7,31.7,1,6,2,9,0,0
43,"G",45.16,19.23,"R",415,11.2,11.2,1,6,2,2,0.2,0
45,"G",3.62,222.29,"L",241.6,71.4,71.4,1,6,4,5,NA,NA
