"Sample_ID","female.f2","male_pheromone_level","cross.time_.sec.","cross.direction","latency.time_.sec.","bout.time_.sec.","courtship.time_.sec.","copulation.success.10min","progress_in_courtship","n.totalcycle","n.headnods.c1","f3md.g","f3md.o"
46,"G",5.48,109.1,"L",143.7,10.1,10.1,1,6,1,2,0,0
48,"G",16.47,69.86,"L",579.3,20.6,20.6,1,6,3,3,0.125,0
50,"G",2.66,328.15,"R",NA,NA,NA,0,1,0,NA,0.25,0
52,"G",3.66,8.03,"L",415.9599998966,45.8200001623,45.8200001623,1,6,3,5,0.25,0.25
54,"G",9.86,5.47,"L",NA,NA,NA,0,1,0,NA,NA,NA
56,"G",2.92,11.46,"L",480.2,38.9,38.9,1,6,3,7,0,0
58,"G",4.55,51.52,"L",107.7,4.6,4.6,1,6,1,2,NA,NA
60,"G",11.05,4.37,"L",34.6,33.2,33.2,1,6,3,6,0.4,0.4
62,"G",2.75,5.69,"L",117.4,21.1,21.1,1,6,2,5,0.2,0
64,"G",5.68,60.25,"L",NA,NA,NA,0,1,0,NA,0,0
66,"G",0,5.52,"L",NA,NA,NA,0,1,0,NA,NA,NA
68,"G",17.96,85.53,"L",107,40.4,40.4,1,6,3,10,0.2,0
70,"G",5.31,132.96,"L",424.2,21.4,21.4,1,6,2,6,0.25,0
72,"G",10.3,2.81,"R",50,54.3,54.3,1,6,4,8,NA,NA
74,"G",2.6,4.2,"L",79.9,27.5,27.5,1,6,4,3,NA,NA
76,"G",4.67,2.28,"L",30.5,16.9,16.9,1,6,2,3,NA,NA
78,"G",0.55,2.87,"R",71.7,31.1,31.1,1,6,3,6,0.33,0
80,"G",10.84,14.61,"R",110.4,19.3,19.3,1,6,2,5,0.2,0
82,"G",6.25,5.11,"L",396.5,37.7,37.7,1,6,3,8,0,0
84,"G",14.66,5.07,"L",45.1,42.5,42.5,1,6,3,2,1,0
86,"G",0.42,3.97,"R",77.9,38.5,38.5,1,6,3,3,1,0.5
88,"G",18.61,3.5,"L",88.9,41.4,41.4,1,6,3,10,0,0
90,"G",1.43,8.82,"L",50.5,28.1,28.1,1,6,2,5,NA,NA
92,"G",1.21,NA,NA,NA,NA,NA,0,1,0,NA,0.33,0
94,"G",9.46,NA,NA,NA,NA,NA,0,0,0,NA,0.2,0
96,"G",3.43,4.56,"L",10.9,9.3,9.3,1,6,1,5,0.8,0
98,"G",0.32,15.88,"L",34,53.1,53.1,1,6,4,5,0.33,0
100,"G",0.79,12.06,"L",72.4,38.8,38.8,1,6,3,6,NA,NA
102,"G",4.53,4.67,"L",148.1,68.5,68.5,1,6,5,4,1,1
104,"G",12.39,22.76,"R",NA,NA,NA,0,1,0,NA,NA,NA
106,"G",14.76,6.69,"L",120,25.5,25.5,1,6,2,5,0,0
108,"G",6.49,33.69,"L",84.8,7,7,1,6,1,3,0.6,0.25
110,"G",0.92,45.08,"L",NA,NA,NA,0,1,0,NA,NA,NA
112,"G",2.14,2.77,"L",363.2499998901,69.5299996762,69.5299996762,1,6,4,5,0.2,0
114,"G",1.71,307.86,"L",379.5699997572,51.6500002239,51.6500002239,1,6,3,5,NA,NA
116,"G",102.36,4.31,"L",82.5099999318,19.5199994836,19.5199994836,1,6,2,9,NA,NA
118,"G",39.74,9.55,"R",43.3,7.2,7.2,1,6,1,2,NA,NA
120,"G",19.33,27,"L",107.4,219,219,0,4,11,15,NA,NA
122,"G",8.6,13.27,"L",517.9,68.3,68.3,1,6,5,2,NA,NA
124,"G",8.03,3.75,"L",181.9,52,52,1,6,3,6,NA,NA
126,"G",4.9,17,"L",513.7,21.9,21.9,1,6,2,9,0.2,0
128,"G",2.32,24.56,"L",NA,NA,NA,0,1,0,NA,NA,NA
130,"G",5.14,4.43,"L",76.7,3.8,3.8,1,6,1,1,NA,NA
132,"G",0.82,3.13,"L",84.8,39.5,39.5,1,6,2,5,0,0
134,"G",70.88,12.55,"L",402.3,80.3,80.3,1,6,3,4,NA,NA
136,"G",80.17,10.42,"L",16.5,121.7,121.7,1,6,8,9,NA,NA
138,"G",2.5,5.47,"L",81.3,9.3,9.3,1,6,1,5,NA,NA
140,"G",7.41,84.75,"L",105.1,7.4,7.4,1,6,1,3,0.4,0
142,"G",72.6,3.51,"L",106.6,4.6,4.6,1,6,1,2,1,0
144,"G",102.91,4.42,"R",135.7,25.3,25.3,1,6,3,3,NA,NA
146,"G",3.11,4.64,"L",35.6,23.9,23.9,1,6,2,5,0,0
148,"G",7.86,3.04,"L",93.6,91.2,91.2,0,4,5,14,NA,NA
150,"G",0,7.31,"L",74.1,31.9,31.9,1,6,2,3,0.5,0
152,"G",0,7.61,"L",134.6,25.1,25.1,1,6,2,4,0,0
154,"G",2.3,3.25,"L",105.8,39.3,39.3,1,6,3,3,NA,NA
156,"G",0,NA,NA,44.4,7,7,1,6,1,4,0.25,0.6
158,"G",20.41,57.97,"L",135,8,8,1,6,1,5,NA,NA
160,"G",32.17,6.88,"L",14,42,42,1,6,4,4,NA,NA
162,"G",6.61,42.78,"L",88.1,22.6,22.6,1,6,2,12,0,0
165,"G",1.75,3.75,"L",288.1,19.7,19.7,1,6,2,4,0.25,0
167,"G",11.85,21,"L",58,10.3,10.3,1,6,1,4,NA,NA
169,"G",1.49,9.21,"L",235.9,8.2,104.6,1,5,1,4,0,0
171,"G",94.23,48.94,"R",NA,NA,NA,0,1,0,NA,NA,NA
173,"G",43.77,4.2,"L",343.6,4.4,4.4,1,6,1,2,NA,NA
175,"G",12.96,1.31,"L",97.2,5.7,5.7,1,6,1,3,0,0
177,"G",0.77,12,"L",181.3,41.6,41.6,1,6,3,5,0.33,0
179,"G",3.2,4.89,"L",33.1,26.1,26.1,1,6,2,3,0.5,0
181,"G",3.59,13.28,"R",40.5,87,87,1,6,4,9,NA,NA
183,"G",15.46,3.69,"L",NA,NA,NA,0,1,0,NA,0,1
185,"G",0,8.43,"L",44.9,44.9,44.9,1,6,3,5,1,0
187,"G",0,23.74,"L",402.6,57.1,57.1,1,6,2,12,0.5,0.25
189,"G",2.26,5.31,"L",126.9,6.9,6.9,1,6,1,3,0,0
191,"G",5.36,8.5,"L",43.8,33.9,33.9,1,6,1,11,0.75,0
193,"G",96.34,39.86,"L",102.5,6.5,6.5,1,6,1,4,0.4,0.25
195,"G",0,24,"L",102.3,47.1,47.1,1,6,2,6,NA,NA
197,"G",72.6,8.13,"L",224.3,54.6,54.6,1,6,4,6,0.75,0
199,"G",0,1.5,"R",229.3,44.2,44.2,1,6,1,2,NA,NA
201,"G",7.51,22.16,"L",66.2,43,43,1,6,2,3,0.67,0.2
203,"G",0.81,11.64,"L",68.7,19,19,1,6,2,4,1,0
205,"G",20.81,3.83,"R",149.8,8.4,8.4,1,6,1,5,0.6,0.5
207,"G",0,4.23,"R",304,53,53,1,6,3,5,0.5,0
209,"G",0.06,2.34,"L",36,7,7,1,6,1,4,0.33,0
211,"G",1.41,6.92,"R",219.4,29.4,29.4,1,6,2,13,0.5,0
213,"G",0,18.94,"L",112,14.7,14.7,1,6,1,6,0,0
215,"G",4.35,18.69,"L",NA,NA,NA,0,1,0,NA,1,0
217,"G",2.62,7.55,"L",43,36,36,1,6,2,2,0.5,0
219,"G",0.91,17.97,"L",182,29,29,1,6,2,6,NA,NA
221,"G",0,3.32,"L",31,2,33,1,2,1,NA,0,0
223,"G",0,3.07,"R",155,15,15,1,6,1,3,1,0.33
225,"G",0.82,69.2,"L",124.5,9.6,174,0,5,1,1,1,0.33
227,"G",0,14.23,"L",48.9,5,5,1,6,1,1,1,0.33
228,"G",2.54,6.17,"L",59.6,6.7,183.6,0,3,1,2,NA,NA
230,"G",1.56,5.81,"L",116.7,22.4,22.4,1,6,2,6,1,0.5
232,"G",1.21,11.41,"L",184.1,6.9,6.9,1,6,1,3,1,0
234,"G",1.35,7.09,"L",58.3,35.6,129,1,5,2,7,1,0.4
236,"G",0.14,4,"L",60.9,37.4,69,1,5,3,3,1,0.67
240,"G",12.4,3.99,"R",327.5,10.7,65.5,1,5,1,4,1,0.5
241,"G",4.13,7.14,"L",90.1,7.5,157.2,0,5,1,3,NA,NA
242,"G",82.98,7.89,"L",235.5,8.3,8.3,1,6,1,4,NA,NA
244,"G",0,8.28,"L",NA,NA,NA,0,1,0,NA,0,0
245,"G",0.7,13.55,"L",NA,NA,NA,0,1,0,NA,0,0
246,"G",15.73,41.87,"L",80.5,190.5,190.5,0,4,3,11,0,0
248,"G",0.09,3.71,"L",NA,NA,NA,0,1,0,NA,NA,NA
250,"G",3.09,612.9,NA,614.4,70.1,70.1,1,6,5,1,NA,NA
252,"G",1.16,10.82,"L",45.7,44.3,44.3,1,6,3,16,0,0
254,"G",35.74,46.09,"L",NA,NA,NA,0,1,0,NA,NA,NA
256,"G",10.95,6.2,"L",30.1,46.4,46.4,1,6,4,6,0,0
258,"G",12,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
260,"G",0,5.7,"L",39,32,32,1,6,3,4,0,0
262,"G",1,4.78,"L",224.6,30.4,30.4,1,6,5,2,0.2,0
264,"G",29.41,5.72,"L",35.4,77.8,77.8,1,6,7,4,0,0
266,"G",0,8.14,"L",11.2,98.8,98.8,1,6,4,2,0,0
268,"G",4.71,3.83,"L",91.8,23,23,0,2,0,NA,NA,NA
270,"G",1.73,40.72,"L",234.9,118.4,118.4,0,3,2,1,0,0
272,"G",1.39,57.77,"L",61.2,36.6,36.6,1,6,2,4,0,0
274,"G",23.31,226.91,"L",229.3,51.4,51.4,1,6,4,4,NA,NA
276,"G",0.97,85.91,"L",141.2,11.4,11.4,1,6,1,2,0,0
278,"G",1.22,170.14,"R",227.3,6.7,6.7,0,2,0,NA,NA,NA
280,"G",0,22.56,"R",628.6,3.5,3.5,0,2,0,NA,0.2,0
282,"G",3.58,23.48,"L",NA,NA,NA,0,1,0,NA,0,0
284,"G",10.31,17.73,"L",70.7,42.6,42.6,1,6,3,8,0.4,0
286,"G",32.92,66.04,"L",74.2,41.7,41.7,1,6,3,7,NA,NA
288,"G",5.18,72.69,"L",86,14,14,1,6,1,4,NA,NA
290,"G",6.53,106.7,"L",NA,NA,NA,0,1,0,NA,0.2,0
292,"G",0,80.44,"L",588,104,104,0,3,4,6,NA,NA
294,"G",0,5.27,"L",NA,NA,NA,0,1,0,NA,0.25,0.2
296,"G",3.44,7.21,"L",NA,NA,NA,0,1,0,NA,NA,NA
298,"G",0,4.95,"R",NA,NA,NA,0,1,0,NA,0,0
300,"G",0,12.03,"L",75.4,165.8,165.8,0,3,3,1,0,0
302,"G",2.42,22.71,"R",379.4,114.2,114.2,1,6,3,3,NA,NA
304,"G",22.12,36.25,"L",NA,NA,NA,0,1,0,NA,NA,NA
306,"G",0,9.59,"L",73.6,19.5,19.5,1,6,2,11,NA,NA
308,"G",9.93,3.93,"R",27.9,25.6,25.6,1,6,2,8,0,0.2
310,"G",0.49,6.5,"L",NA,NA,NA,0,1,0,NA,NA,NA
312,"G",6.37,38.12,"L",94,85.7,85.7,0,6,5,2,0,0
314,"G",10.81,53.71,"L",288.8,21.3,21.3,1,6,3,3,0.33,0
316,"G",7.82,4.95,"L",52.5,31.4,31.4,1,6,3,7,0,0.5
318,"G",72.44,23.62,"L",120.1,32.8,32.8,1,6,2,4,0.2,0
320,"G",26.77,6.92,"L",71.7,27.9,27.9,1,6,3,2,0,0
322,"G",21.74,2.23,"R",32.6,92.1,92.1,0,2,0,NA,0,0
324,"G",1.92,6.13,"R",115.8,36.7,36.7,1,6,2,11,1,0.4
326,"G",0,36.65,"L",53.9,32,32,1,6,2,8,1,0
328,"G",2.6,40.64,"L",76.7,158.1,158.1,1,6,6,3,0.25,0.33
330,"G",1.21,11.06,"L",NA,NA,NA,0,1,0,NA,0.2,0
332,"G",11.96,3.83,"L",217,142,142,0,3,4,2,0,0.25
334,"G",0,6.73,"L",NA,NA,NA,0,1,0,NA,NA,NA
336,"G",19.06,4.77,"L",25.6,29.8,29.8,1,6,3,2,0,0.25
339,"G",0,10.08,"R",444.6,157.4,157.4,0,3,6,2,NA,NA
341,"G",2.33,5.7,"L",163.4,7.5,7.5,1,6,1,2,NA,NA
343,"G",0.93,3.68,"L",NA,NA,NA,0,1,0,NA,0.5,0
345,"G",27.04,7.63,"L",40,6.8,6.8,1,6,1,3,NA,NA
347,"G",68.32,15.31,"L",174.7,35.6,35.6,1,6,3,5,NA,NA
349,"G",97.59,11.39,"L",54.9,10,10,1,6,1,5,0.4,0
351,"G",2.94,10.56,"R",215.8,23.2,23.2,1,6,1,1,0.2,0
353,"G",0,4.18,"L",107.3,41.4,41.4,1,6,3,1,NA,NA
355,"G",51.11,2.92,"L",43,32.7,32.7,1,6,1,23,NA,NA
357,"G",10.31,319.79,"L",NA,NA,NA,0,1,0,NA,0,0.2
359,"G",37.94,4.95,"L",22.9,40.9,40.9,1,6,2,4,NA,NA
361,"G",20.29,104.43,"L",143.3,26.8,26.8,1,6,2,4,0.6,0
363,"G",1.76,5.86,"R",NA,NA,NA,0,1,0,NA,0.33,0.67
365,"G",1.42,40.87,"L",144.7,227.5,227.5,1,6,4,2,0,0
368,"G",5.54,38.42,"L",147.4,71.6,71.6,1,6,6,2,0,0.25
370,"G",1.6,32.91,"L",79.5,40.9,40.9,1,6,2,4,NA,NA
372,"G",3.25,11.4,"R",207.7,30.9,30.9,1,6,2,6,0.4,0
374,"G",2.57,16.37,"L",44.3,56.3,56.3,1,6,2,4,NA,NA
377,"G",0,8.24,"R",209.3,29.1,29.1,1,6,2,5,0.33,0
378,"G",0,5.3,"R",79.2,55.8,55.8,1,6,4,7,NA,NA
380,"G",6.73,16.92,"R",58.6,61.2,61.2,1,6,4,7,NA,NA
382,"G",8.37,9.12,"L",54.4,7.4,7.4,1,6,1,5,NA,NA
384,"G",2.98,8.22,"L",156.4,12.6,12.6,1,6,1,6,0,0
387,"G",16.62,31.62,"L",83.8,8.4,8.4,1,6,1,4,NA,NA
389,"G",1.12,12.95,"L",109.5,29.5,29.5,1,6,2,2,NA,NA
391,"G",4.5,8.37,"R",148.1,65.4,65.4,0,4,5,4,NA,NA
393,"G",3.48,6.08,"L",54.5,13.4,13.4,1,6,1,10,NA,NA
396,"G",5.4,1.41,"L",36.9,1.5,286.3,1,2,0,NA,1,0
398,"G",15.44,8.97,"L",72.1,16.8,16.8,1,6,1,9,0,0
400,"G",3.78,5.14,"L",16.5,22.5,22.5,1,6,2,5,0.8,0.25
402,"G",0.49,9.06,"L",329.5,16.2,16.2,1,6,1,12,1,0.2
404,"G",5.96,74.69,"L",284.9,24.5,24.5,1,6,2,3,NA,NA
406,"G",7.63,3,"L",149.6,18.5,18.5,1,6,2,8,0,0
407,"G",5.45,14,"L",42.5,20.6,20.6,1,6,2,2,1,0
409,"G",0,15.14,"L",107.7,64.4,64.4,1,6,3,7,0.25,0
411,"G",2.11,1.58,"L",17.2,7.9,7.9,1,6,1,4,NA,NA
413,"G",3.74,20.73,"L",41.2,7.8,7.8,1,6,1,6,0,0
415,"G",1.28,6.17,"R",NA,NA,NA,0,1,0,NA,0,1
417,"G",18.89,124.43,"R",129.9,29.8,29.8,1,6,2,9,0.6,0.5
420,"G",2.51,1,"L",13,26,26,1,6,2,4,0.6,0
422,"G",1.38,34.65,"L",130,5,5,1,6,1,2,0.33,0
423,"G",1.83,13.37,"L",160,19,19,1,6,2,9,0.6,0
426,"G",0,12.47,"L",19.7,24.5,24.5,1,6,2,3,0.75,0
428,"G",0,3.46,"L",NA,NA,NA,0,1,0,NA,0.8,0
431,"G",0,27.44,"L",NA,NA,NA,0,1,0,NA,0,0
433,"G",9.03,4.1,"R",427.7,46.9,109.1,0,2,0,NA,0.8,0
435,"G",0,7.2,"R",363.8,64.7,64.7,0,2,0,NA,0.67,0
437,"G",2.76,66.94,"L",138.3,4.9,4.9,1,6,1,5,0.8,0
440,"G",0.94,23.14,"L",158.8,20,20,1,6,2,3,NA,NA
442,"G",2.31,1.86,"R",603.1,16.7,92.3,1,5,1,12,NA,NA
444,"G",1.89,5.99,"L",115.7,20,20,1,6,1,3,0.33,0.25
446,"G",0,32.09,"R",47.5,20,121.1,1,2,0,NA,NA,NA
448,"G",12.1,8.34,"L",132.6,0.9,40.6,1,2,0,NA,1,0
450,"G",49.22,22.33,"R",129.1,16.4,61.7,1,5,1,6,1,0
452,"G",102.98,30.69,"R",232.1,8.1,8.1,1,6,1,5,0.875,0
454,"G",0.58,4.19,"L",301.6,12,12,1,6,1,2,0,0
456,"G",2.44,25.22,"L",305.1,46.7,46.7,1,3,4,1,0.5,0
458,"G",56.15,4.67,"L",31.2,6.8,101.8,1,5,1,4,1,1
460,"G",0,14.02,"L",76.3,9.5,9.5,1,6,1,8,0.5,0.33
462,"G",0,8.98,"L",444.2,50.6,73.7,1,5,3,2,1,0
464,"G",0,21.32,"L",109.6,7.9,7.9,0,5,1,3,1,0.375
466,"G",0,7.34,"L",NA,NA,NA,0,1,0,NA,NA,NA
468,"G",1.26,7.98,"L",30.7,5.3,49.3,1,5,1,3,NA,NA
470,"G",0,3.03,"L",470.9,190.6,190.6,1,3,3,2,NA,NA
472,"G",6.22,7.97,"L",85.5,8.8,37.3,1,5,1,2,1,0
475,"G",4.15,3.64,"L",225.8,44.7,44.7,1,6,3,6,NA,NA
